,Nombre,Ubicación,Superficie (km²),Latitud,Longitud,Sup tamaño
0,Lago Argentino,Santa Cruz,1435,-50.248,-72.645,Grande
1,Lago Viedma,Santa Cruz,1166,-49.624,-72.495,Grande
2,Lago Nahuel Huapi,Rio Negro / Neuquen,540,-40.854,-71.616,Grande
3,Lago Musters,Chubut,427,-45.415,-69.198,Grande
4,Lago Cardiel,Santa Cruz,358,-48.917,-71.215,Grande
5,Lago Epecuen,Buenos Aires,156,-37.129,-62.865,Grande
6,Lago Pellegrini,Rio Negro,116,-38.707,-67.973,Grande
7,Lago Strobel,Santa Cruz,100,-48.433,-71.19,Grande
8,Lago Fontana,Chubut,84,-44.921,-71.496,Grande
9,Lago Huechulafquen,Neuquen,84,-39.774,-71.509,Grande
10,Lago Traful,Neuquen,78,-40.631,-71.415,Grande
11,Lago La Plata,Chubut,73,-44.859,-71.82,Grande
12,Lago Ghio,Santa Cruz,65,-47.288,-71.53,Grande
13,Lago Menendez,Chubut,58,-42.691,-71.862,Medio
14,Lago Alumine,Neuquen,58,-38.922,-71.126,Medio
15,Lago Lacar,Neuquen,53,-40.163,-71.436,Medio
16,Lago Yehuin,"Tierra Del Fuego, Antartida E Islas Del Atlantico Sur",49,-54.412,-67.715,Medio
17,Lago Quiroga,Santa Cruz,47,-48.417,-71.551,Medio
18,Lago Puelo,Chubut,47,-42.151,-71.65,Medio
19,Lago Nansen,Santa Cruz,42,-47.979,-72.353,Medio
20,Lago Belgrano,Santa Cruz,42,-47.844,-72.143,Medio
21,Lago Futalaufquen,Chubut,42,-42.828,-71.675,Medio
22,Lago Posadas,Santa Cruz,41,-47.494,-71.832,Medio
23,Lago Espejo,Neuquen,40,-40.676,-71.711,Medio
24,Lago Mascardi,Rio Negro,39,-41.346,-71.548,Medio
25,Lago Chepelmut,"Tierra Del Fuego, Antartida E Islas Del Atlantico Sur",38,-54.395,-67.593,Medio
26,Lago Salitroso O Sucio,Santa Cruz,37,-47.5,-71.613,Medio
27,Lago Lolog,Neuquen,37,-40.036,-71.536,Medio
28,Lago Tar,Santa Cruz,30,-49.228,-72.017,Medio
29,Lago Tromen,Neuquen,29,-39.526,-71.448,Medio
30,Lago Blanco,Chubut,28,-45.888,-71.224,Medio
31,Lago Quillen,Neuquen,26,-39.411,-71.314,Medio
32,Lago Asador O Guitarra,Santa Cruz,23,-47.863,-71.47,Medio
33,Lago Rivadavia,Chubut,23,-42.611,-71.666,Medio
34,Lago Moquehue,Neuquen,21,-38.904,-71.274,Medio
35,Lago Correntoso,Neuquen,20,-40.702,-71.66,Medio
36,Lago Rio Chico,Chubut,20,-45.594,-68.548,Medio
37,Lago Quiroga Chico,Santa Cruz,20,-48.499,-71.585,Medio
38,Lago Epuyen,Chubut,17,-42.188,-71.507,Chico
39,Lago Gutierrez,Rio Negro,17,-41.208,-71.42,Chico
40,Lago Cholila,Chubut,17,-42.459,-71.669,Chico
41,Lago Paimun,Neuquen,16,-39.724,-71.584,Chico
42,Lago Azara,Santa Cruz,16,-47.846,-72.27,Chico
43,Lago Burmeister,Santa Cruz,14,-47.956,-72.203,Chico
44,Lago Onelli,Santa Cruz,14,-50.108,-73.35,Chico
45,Lago Meliquina,Neuquen,14,-40.333,-71.319,Chico
46,Lago Perito Moreno,Rio Negro,12,-41.066,-71.541,Chico
47,Lago Currhue,Neuquen,12,-39.84,-71.507,Chico
48,Lago Falkner,Neuquen,11,-40.485,-71.476,Chico
49,Lago Pico Nº 1,Chubut,10,-44.242,-71.502,Chico
50,Lago Rio Bueno,"Tierra Del Fuego, Antartida E Islas Del Atlantico Sur",10,-54.689,-65.806,Chico
51,Lago Rosario,Chubut,10,-43.26,-71.347,Chico
